mf_category,mf_sub_category
Debt Scheme,Banking and PSU
Debt Scheme,Corporate Bond
Debt Scheme,Credit Risk
Debt Scheme,Dynamic Bond
Debt Scheme,Floater
Debt Scheme,Gilt
Debt Scheme,Gilt with 10 year constant duration
Debt Scheme,Liquid
Debt Scheme,Long Duration
Debt Scheme,Low Duration
Debt Scheme,Medium Duration
Debt Scheme,Medium to Long Duration
Debt Scheme,Money Market
Debt Scheme,Overnight
Debt Scheme,Short Duration
Debt Scheme,Ultra Short Duration
Equity Scheme,Contra
Equity Scheme,Dividend Yield
Equity Scheme,ELSS
Equity Scheme,Focused
Equity Scheme,Large & Mid Cap
Equity Scheme,Large Cap
Equity Scheme,Mid Cap
Equity Scheme,Multi Cap
Equity Scheme,Small Cap
Equity Scheme,Value
Hybrid Scheme,Aggressive Hybrid
Hybrid Scheme,Arbitrage
Hybrid Scheme,Conservative Hybrid
Hybrid Scheme,Equity Savings
Hybrid Scheme,Multi Asset Allocation
Other Scheme,FoFs(Oversease/Domestic)
Other Scheme,Indexs/ETFs
Others,Others
Solution Scheme,Children's
Solution Scheme,Retirement
